mu,xi,sigma,c,generations,extinct,final_fitness,final_variance,final_clusters,final_silhouette,speciation
0.005,0.001,0.2,0.0,50,False,0.8782692031742886,0.00027514229454534295,3,0.9999999977447174,True
0.005,0.001,0.2,0.0,100,False,0.888003561102819,2.265375097085486e-33,1,,False
0.005,0.001,0.2,0.0,200,False,0.9208111002564892,3.6743132220262734e-33,1,,False
0.005,0.001,0.2,0.002,50,False,0.7737497341561617,1.2074231333584182e-08,2,1.0,True
0.005,0.001,0.2,0.002,100,True,0.20080119360068238,2.0687722266601407e-08,2,0.9926928980137177,True
0.005,0.001,0.2,0.002,200,True,0.20714266569082224,3.629108479070277e-08,2,0.9999993097640797,True
0.005,0.001,0.2,0.005,50,True,0.20820911807185655,4.6996609680745906e-08,2,0.9999997360217557,True
0.005,0.001,0.2,0.005,100,True,0.21483185391974136,1.4300029837075226e-32,1,,False
0.005,0.001,0.2,0.005,200,True,0.20822592498268627,2.1634984581696468e-08,3,0.9999981386925326,True
0.005,0.001,0.2,0.01,50,True,0.2120484370711459,8.12449487020944e-10,2,0.9999998363428567,True
0.005,0.001,0.2,0.01,100,True,0.2393788253178278,8.755759009670471e-33,1,,False
0.005,0.001,0.2,0.01,200,True,0.22357086007505575,1.7803669254231342e-12,2,1.0,True
0.005,0.001,0.5,0.0,50,False,0.9712385317983422,4.437646843331529e-05,3,1.0,True
0.005,0.001,0.5,0.0,100,False,0.9863027494453598,2.7175172441857707e-33,1,,False
0.005,0.001,0.5,0.0,200,False,0.9721094750699811,0.002650416883638386,2,0.9999999959549112,True
0.005,0.001,0.5,0.002,50,False,0.8180474482009465,2.8888949165808538e-33,1,,False
0.005,0.001,0.5,0.002,100,False,0.7266186086270333,0.0013499266981857245,2,0.9999999908241358,True
0.005,0.001,0.5,0.002,200,True,0.20317347437614638,3.4865350524485176e-33,1,,False
0.005,0.001,0.5,0.005,50,False,0.6027396140935906,0.0030017945187277013,2,1.0,True
0.005,0.001,0.5,0.005,100,True,0.20334450569055107,4.3718629931256676e-08,4,1.0,True
0.005,0.001,0.5,0.005,200,True,0.20713373257383305,7.46423599353993e-09,2,1.0,True
0.005,0.001,0.5,0.01,50,True,0.21600098135441212,1.853948312715763e-32,1,,False
0.005,0.001,0.5,0.01,100,True,0.20488153271007822,2.486057470593936e-09,2,1.0,True
