generation,mean_fitness,distance_from_optimum,phenotype_variance,population_size,n_parents,median_offspring,max_offspring,n_clusters,silhouette,cluster_sizes
0,0.912902429266632,0.03695941510567121,0.008971213518375553,100,54,2.0,5,5,0.31237755899008735,"[np.int64(15), np.int64(18), np.int64(39), np.int64(11), np.int64(17)]"
1,0.9157643687936349,0.04328616040650863,0.008597394424531007,100,63,1.0,4,5,0.4489990193578944,"[np.int64(43), np.int64(18), np.int64(14), np.int64(17), np.int64(8)]"
2,0.9184341933794008,0.03425976162410045,0.008389822626022218,100,60,1.0,5,5,0.5504305633676116,"[np.int64(23), np.int64(19), np.int64(31), np.int64(9), np.int64(18)]"
3,0.9202659491086184,0.034065612284163965,0.008188856730409658,100,61,1.0,4,5,0.5736159140710764,"[np.int64(27), np.int64(22), np.int64(23), np.int64(7), np.int64(21)]"
4,0.9277433326831809,0.020159190877255703,0.007490183196895761,100,60,1.0,4,5,0.5853997067793016,"[np.int64(33), np.int64(21), np.int64(23), np.int64(6), np.int64(17)]"
5,0.9347205956075085,0.023032410061365333,0.00667736693926244,100,66,1.0,4,5,0.5894870197777088,"[np.int64(33), np.int64(19), np.int64(21), np.int64(19), np.int64(8)]"
6,0.9361655210576558,0.02821290627544737,0.00646805736632536,100,64,1.0,3,5,0.602062502907725,"[np.int64(44), np.int64(31), np.int64(11), np.int64(11), np.int64(3)]"
7,0.9402730543132237,0.053053089035871116,0.005621915432121684,100,64,1.0,4,5,0.7079028521458034,"[np.int64(17), np.int64(26), np.int64(16), np.int64(36), np.int64(5)]"
8,0.9374760427475024,0.059800315284961825,0.005768202824697174,100,67,1.0,4,5,0.746439459784135,"[np.int64(41), np.int64(18), np.int64(11), np.int64(5), np.int64(25)]"
9,0.9322940782347416,0.0615981956040767,0.006290005942029356,100,66,1.0,3,5,0.7165496498104207,"[np.int64(11), np.int64(21), np.int64(37), np.int64(12), np.int64(19)]"
10,0.9285786860295963,0.07612890563871723,0.006290116840393048,100,65,1.0,4,5,0.7854905824309902,"[np.int64(5), np.int64(27), np.int64(40), np.int64(18), np.int64(10)]"
11,0.9308124024488917,0.08148262274522718,0.0058786790585503585,100,59,2.0,3,5,0.7814979157883688,"[np.int64(47), np.int64(11), np.int64(13), np.int64(17), np.int64(12)]"
12,0.9344915457442501,0.11277814491497899,0.004251286063521846,100,62,1.0,4,5,0.855617548943914,"[np.int64(66), np.int64(13), np.int64(9), np.int64(7), np.int64(5)]"
13,0.9338296420060648,0.12996876918040826,0.003483524048042906,100,58,2.0,3,5,0.9239520854787202,"[np.int64(72), np.int64(10), np.int64(7), np.int64(4), np.int64(7)]"
14,0.936240080680895,0.10656009228524131,0.004337872969317659,100,60,1.0,4,5,0.9301542693126064,"[np.int64(61), np.int64(12), np.int64(5), np.int64(17), np.int64(5)]"
15,0.9382158278910336,0.1078905296908935,0.004066476956082617,100,64,1.0,4,5,0.933454386830158,"[np.int64(61), np.int64(19), np.int64(4), np.int64(11), np.int64(5)]"
16,0.9390755018517125,0.10853800709812378,0.003947483055174331,100,64,1.0,4,5,0.9567916765539394,"[np.int64(25), np.int64(59), np.int64(8), np.int64(4), np.int64(4)]"
17,0.9397498974439705,0.10946048510328546,0.0038318266281321166,100,63,1.0,6,5,0.9372574474862944,"[np.int64(20), np.int64(60), np.int64(12), np.int64(6), np.int64(2)]"
18,0.9366707396733801,0.10231064341899578,0.004469186540079039,100,68,1.0,4,5,0.8802806295850787,"[np.int64(14), np.int64(57), np.int64(22), np.int64(4), np.int64(3)]"
19,0.9419576148104107,0.09198684804229573,0.004304688018716572,100,59,1.0,5,5,0.9257666074993925,"[np.int64(48), np.int64(26), np.int64(19), np.int64(3), np.int64(4)]"
20,0.9430810966208522,0.08368099950239284,0.004475104470094597,100,66,1.0,3,5,0.9151840164865677,"[np.int64(28), np.int64(43), np.int64(12), np.int64(3), np.int64(14)]"
21,0.942325196659058,0.08226107922218467,0.004600907032955301,100,65,1.0,4,5,0.91385059343051,"[np.int64(22), np.int64(11), np.int64(43), np.int64(3), np.int64(21)]"
22,0.9380903444267007,0.09130555925464141,0.004744576458462521,100,62,1.0,4,5,0.9099947621518863,"[np.int64(52), np.int64(17), np.int64(8), np.int64(5), np.int64(18)]"
23,0.9364294407903447,0.09537657791519624,0.004773384114976511,100,63,1.0,5,4,0.8943877899452246,"[np.int64(55), np.int64(27), np.int64(11), np.int64(7)]"
24,0.9348620757584283,0.09460791943426226,0.004986688878739748,100,66,1.0,4,5,0.8908224621622106,"[np.int64(53), np.int64(28), np.int64(13), np.int64(1), np.int64(5)]"
25,0.9347992742988198,0.09829299444457235,0.004843827064382245,100,58,2.0,4,4,0.902730039712563,"[np.int64(56), np.int64(16), np.int64(26), np.int64(2)]"
26,0.9390187470439022,0.12443383594071655,0.0032221259739008863,100,59,1.0,7,5,0.9468628418948747,"[np.int64(63), np.int64(19), np.int64(7), np.int64(5), np.int64(6)]"
27,0.9394205771728096,0.13068630727486313,0.0028532156109708825,100,66,1.0,4,4,0.9286937898666947,"[np.int64(23), np.int64(61), np.int64(4), np.int64(12)]"
28,0.9415261371005499,0.12339962904279068,0.0030028594219062466,100,66,1.0,3,4,0.930912872573882,"[np.int64(58), np.int64(28), np.int64(4), np.int64(10)]"
29,0.9438490101150164,0.12319612907214225,0.0027612672292122746,100,63,1.0,4,4,0.9239429770797939,"[np.int64(23), np.int64(29), np.int64(2), np.int64(46)]"
30,0.9431844872155115,0.12621044628875608,0.002680720798964134,100,64,1.0,4,4,0.9139200534114406,"[np.int64(47), np.int64(27), np.int64(24), np.int64(2)]"
31,0.9417152898356456,0.12602647671671707,0.0028468029362229688,100,62,1.0,4,4,0.9077052526191991,"[np.int64(58), np.int64(28), np.int64(2), np.int64(12)]"
32,0.9431747199401229,0.12739343606621142,0.0026281212344950178,100,60,1.0,5,5,0.9436926947417517,"[np.int64(22), np.int64(58), np.int64(3), np.int64(13), np.int64(4)]"
33,0.9394079604634576,0.1361694671732049,0.0025621633689209477,100,65,1.0,4,5,0.9599566097707586,"[np.int64(63), np.int64(14), np.int64(4), np.int64(14), np.int64(5)]"
34,0.939167740627695,0.14579579174553756,0.0020462374719455727,100,65,1.0,5,5,0.9573881854606908,"[np.int64(10), np.int64(66), np.int64(16), np.int64(4), np.int64(4)]"
35,0.9418330010137701,0.12525475963455127,0.002891116744412082,100,62,1.0,4,5,0.9387632292181817,"[np.int64(26), np.int64(62), np.int64(5), np.int64(6), np.int64(1)]"
36,0.9465066605220613,0.11232072337781839,0.0030095522191261187,100,67,1.0,5,4,0.9666510500542365,"[np.int64(56), np.int64(36), np.int64(5), np.int64(3)]"
37,0.9452665808138534,0.11186127790797012,0.0031628634242418284,100,60,2.0,4,3,0.9523889168154471,"[np.int64(60), np.int64(34), np.int64(6)]"
38,0.9461996941293215,0.12560580968388996,0.002403844235075933,100,64,1.0,5,3,0.9537441555749302,"[np.int64(65), np.int64(34), np.int64(1)]"
39,0.9483590879495166,0.12305462126836439,0.0023028039378829098,100,66,1.0,4,5,0.99,"[np.int64(36), np.int64(51), np.int64(2), np.int64(10), np.int64(1)]"
40,0.9477491994049164,0.12497862279016322,0.0022717844584636444,100,62,1.0,5,5,0.99,"[np.int64(50), np.int64(36), np.int64(1), np.int64(11), np.int64(2)]"
41,0.9432420326341875,0.12880955929693683,0.0025902293590575397,100,65,1.0,3,5,0.9728341393702535,"[np.int64(66), np.int64(24), np.int64(1), np.int64(5), np.int64(4)]"
42,0.9431773567326707,0.12688982272420796,0.0026562966556641773,100,66,1.0,4,2,0.8987336018776162,"[np.int64(68), np.int64(32)]"
43,0.9407084727378384,0.13217723410787213,0.0026572455462411547,100,64,1.0,5,4,0.9531191202946502,"[np.int64(66), np.int64(25), np.int64(7), np.int64(2)]"
44,0.9358418068017733,0.14558678533770622,0.0024247024568597704,100,61,1.0,5,5,0.9376228650616567,"[np.int64(70), np.int64(15), np.int64(11), np.int64(2), np.int64(2)]"
45,0.9380356068339684,0.14272686090184858,0.0023564669265226704,100,58,1.0,4,4,0.968151412372167,"[np.int64(69), np.int64(18), np.int64(11), np.int64(2)]"
46,0.9434670080476344,0.13092816033519342,0.002413278790609779,100,61,1.0,4,5,0.9874182314542801,"[np.int64(7), np.int64(67), np.int64(10), np.int64(12), np.int64(4)]"
