generation,mean_fitness,distance_from_optimum,phenotype_variance,population_size,n_parents,median_offspring,max_offspring,n_clusters,silhouette,cluster_sizes
0,0.9147784908194109,0.04501615956475137,0.008813565715395327,100,65,1.0,4,4,0.2646320881151444,"[np.int64(24), np.int64(26), np.int64(46), np.int64(4)]"
1,0.9238019784432353,0.05003850403888332,0.007570385583108125,100,64,1.0,3,5,0.3076551414116144,"[np.int64(32), np.int64(27), np.int64(18), np.int64(5), np.int64(18)]"
2,0.9273213234417114,0.07513439496312531,0.006545183873340537,100,64,1.0,3,5,0.4099007160933429,"[np.int64(28), np.int64(31), np.int64(6), np.int64(29), np.int64(6)]"
3,0.9296817792065558,0.10826272315783433,0.005085478732261735,100,65,1.0,5,5,0.5617860317001302,"[np.int64(4), np.int64(32), np.int64(35), np.int64(5), np.int64(24)]"
4,0.9301180715552262,0.12340199277729413,0.004291992355282721,100,62,1.0,5,5,0.6325793609231263,"[np.int64(13), np.int64(33), np.int64(37), np.int64(14), np.int64(3)]"
5,0.930422014738688,0.14318818753815618,0.003185269350684945,100,66,1.0,3,5,0.7104855512709034,"[np.int64(35), np.int64(28), np.int64(11), np.int64(24), np.int64(2)]"
6,0.9342761423922981,0.14427082886804432,0.0027027380958364712,100,58,1.5,4,5,0.79598446638718,"[np.int64(24), np.int64(21), np.int64(32), np.int64(13), np.int64(10)]"
7,0.9323180490370322,0.1519919417989971,0.002438181267341954,100,65,1.0,6,5,0.8556632634959004,"[np.int64(18), np.int64(27), np.int64(26), np.int64(21), np.int64(8)]"
8,0.927215653504463,0.16509934002444365,0.002150497184292984,100,65,1.0,4,5,0.9092731518531619,"[np.int64(34), np.int64(26), np.int64(21), np.int64(14), np.int64(5)]"
9,0.9171602808231711,0.18289989217704097,0.002004088454618682,100,65,1.0,4,5,0.9358567936237674,"[np.int64(40), np.int64(20), np.int64(23), np.int64(11), np.int64(6)]"
10,0.9043758455807075,0.20414336565237048,0.0017653613090588386,100,63,1.0,4,5,0.983336348829445,"[np.int64(7), np.int64(44), np.int64(28), np.int64(18), np.int64(3)]"
11,0.8953456332907117,0.21415212291922855,0.001945544566954047,100,62,1.0,5,5,0.9937048425842846,"[np.int64(27), np.int64(37), np.int64(11), np.int64(21), np.int64(4)]"
12,0.8878179110248783,0.22298038869577008,0.0020218567805591757,100,62,1.5,3,5,0.9999999992507419,"[np.int64(25), np.int64(39), np.int64(18), np.int64(11), np.int64(7)]"
13,0.883710691703004,0.2265969424269738,0.0021715630958880454,100,63,1.0,4,5,0.9999999987155576,"[np.int64(12), np.int64(35), np.int64(18), np.int64(13), np.int64(22)]"
14,0.8711199587605089,0.24264492067776738,0.0021031476454984126,100,67,1.0,4,5,0.9999999990366681,"[np.int64(37), np.int64(23), np.int64(19), np.int64(12), np.int64(9)]"
15,0.8623010776562126,0.2536163455241532,0.0020378060334257627,100,59,1.0,5,5,0.9999999992507419,"[np.int64(39), np.int64(19), np.int64(14), np.int64(21), np.int64(7)]"
16,0.8518671007074796,0.2623600367253845,0.0023744421386776198,100,66,1.0,4,5,0.9999999985014838,"[np.int64(21), np.int64(33), np.int64(14), np.int64(14), np.int64(18)]"
17,0.8407678405249426,0.2725323336731079,0.002615886634892411,100,65,1.0,4,5,0.9999999978592626,"[np.int64(16), np.int64(23), np.int64(20), np.int64(26), np.int64(15)]"
18,0.8328576600826187,0.2811564412656845,0.0026134333055907533,100,64,1.0,4,5,0.9999999976451889,"[np.int64(22), np.int64(15), np.int64(27), np.int64(23), np.int64(13)]"
19,0.8272402814469092,0.2878015361608568,0.0025381480861191457,100,68,1.0,3,5,0.9999999976451889,"[np.int64(27), np.int64(22), np.int64(21), np.int64(20), np.int64(10)]"
20,0.8120461763557847,0.3030772768284324,0.00259710892741334,100,61,1.0,6,5,0.9877354019956478,"[np.int64(23), np.int64(30), np.int64(27), np.int64(13), np.int64(7)]"
21,0.8127384984887189,0.30365926158472917,0.002423570437906447,100,61,1.0,5,5,0.9999999968959308,"[np.int64(31), np.int64(29), np.int64(17), np.int64(14), np.int64(9)]"
22,0.803074787814771,0.3127203272093383,0.0025221328473673593,100,69,1.0,6,5,0.9999999962537096,"[np.int64(22), np.int64(35), np.int64(17), np.int64(12), np.int64(14)]"
23,0.8041526865172098,0.3128604629592883,0.0023481404873651667,100,63,1.0,4,5,0.9999999947551934,"[np.int64(12), np.int64(49), np.int64(19), np.int64(17), np.int64(3)]"
24,0.7921636578821576,0.3248323302579065,0.0023356167672254667,100,65,1.0,4,5,0.9999999950763041,"[np.int64(21), np.int64(46), np.int64(8), np.int64(15), np.int64(10)]"
25,0.7849747755042847,0.3326962629926885,0.0021856181344437823,100,60,2.0,4,5,0.9902780946049745,"[np.int64(21), np.int64(37), np.int64(31), np.int64(7), np.int64(4)]"
26,0.7752490722098169,0.34187029750759484,0.0021945530657226852,100,66,1.0,4,5,0.9999999880957801,"[np.int64(38), np.int64(25), np.int64(21), np.int64(9), np.int64(7)]"
27,0.7576515352626894,0.3594103297488069,0.0020486152604367175,100,65,1.0,3,4,0.999999997538152,"[np.int64(11), np.int64(40), np.int64(23), np.int64(26)]"
28,0.7532182758119238,0.3644719496728557,0.0018527810049805895,100,58,1.0,5,4,0.9999999968959308,"[np.int64(29), np.int64(40), np.int64(27), np.int64(4)]"
29,0.7381173020179631,0.3773892444182173,0.0019783323879240247,100,71,1.0,4,4,0.9999999961466728,"[np.int64(28), np.int64(36), np.int64(31), np.int64(5)]"
30,0.7236090671304541,0.39011094941508395,0.0020166681744764447,100,59,1.0,5,5,0.9999999960396359,"[np.int64(22), np.int64(37), np.int64(34), np.int64(5), np.int64(2)]"
31,0.7162245049897639,0.3971653028012366,0.0019076158324374138,100,70,1.0,3,5,0.9999999952903778,"[np.int64(21), np.int64(44), np.int64(31), np.int64(2), np.int64(2)]"
32,0.7071960648692404,0.4060743344612184,0.0017365231566429478,100,66,1.0,4,4,0.9899999942200091,"[np.int64(17), np.int64(54), np.int64(28), np.int64(1)]"
33,0.6975260663822641,0.4158005873048378,0.001503011610832132,100,64,1.0,4,3,0.9999999931496406,"[np.int64(25), np.int64(64), np.int64(11)]"
34,0.6917301113821337,0.4221134385827996,0.0012553138922168944,100,60,1.0,5,3,0.9999999920792719,"[np.int64(74), np.int64(14), np.int64(12)]"
35,0.680922651746819,0.43166115152265155,0.0011904304168777484,100,62,1.0,4,3,0.9999999918651981,"[np.int64(76), np.int64(16), np.int64(8)]"
36,0.6668065207731145,0.4434810377988043,0.0012240147095469397,100,62,1.0,5,3,0.999999991972235,"[np.int64(75), np.int64(15), np.int64(10)]"
37,0.6553471896955142,0.453488283420692,0.0011543566073273235,100,64,1.0,4,3,0.9999999917581612,"[np.int64(16), np.int64(77), np.int64(7)]"
38,0.6434964309919502,0.4644797831744017,0.0009554684465724238,100,64,1.0,4,3,0.9999999912229769,"[np.int64(82), np.int64(13), np.int64(5)]"
39,0.6308133666298054,0.47738389356058614,0.0005164047209887769,100,66,1.0,5,3,0.9999999902596451,"[np.int64(91), np.int64(5), np.int64(4)]"
40,0.6158986733850367,0.48934027816011333,0.0006105711504810878,100,64,1.0,4,3,0.9999999904737189,"[np.int64(89), np.int64(8), np.int64(3)]"
41,0.6043656504055077,0.49959730082255704,0.00046116209917678965,100,67,1.0,4,3,0.9999999901526082,"[np.int64(92), np.int64(5), np.int64(3)]"
42,0.5903251737177553,0.510223822120655,0.0006711408818204641,100,66,1.0,4,3,0.9999999905807557,"[np.int64(88), np.int64(6), np.int64(6)]"
43,0.57698726476494,0.521065767554711,0.0007215459299968909,100,63,1.0,3,3,0.9999999906877926,"[np.int64(6), np.int64(87), np.int64(7)]"
44,0.5650720335689905,0.532148710535999,0.0004651420096418281,100,63,1.0,5,3,0.9999999901526082,"[np.int64(92), np.int64(4), np.int64(4)]"
45,0.5540767691244055,0.5419353242630022,0.00030674376215567933,100,57,1.0,4,2,0.9999999901524624,"[np.int64(95), np.int64(5)]"
46,0.5408768383415505,0.5529464954763508,0.0003067437621556795,100,62,1.0,6,2,0.9999999901524623,"[np.int64(95), np.int64(5)]"
47,0.5277274471345028,0.5639643233708234,0.00030674376215567933,100,62,1.0,4,2,0.9999999901524623,"[np.int64(95), np.int64(5)]"
48,0.5141834345398195,0.5737440050678095,0.000681939816497677,100,64,1.0,4,2,0.9999999908780706,"[np.int64(88), np.int64(12)]"
49,0.5014959524783476,0.5856455119468487,0.00042040039823862586,100,64,1.0,4,2,0.999999990359779,"[np.int64(93), np.int64(7)]"
50,0.48863254809393636,0.5968699418538489,0.00036421785653853244,100,61,1.0,5,2,0.9999999902561207,"[np.int64(94), np.int64(6)]"
